epoch,f1,loss,lr,val_f1,val_loss
0,1.8114996433258057,nan,0.001,1.9997073650360107,nan
1,1.9997074043049532,nan,0.001,1.9997073650360107,nan
2,1.9997073930852554,nan,0.001,1.9997073650360107,nan
3,1.9997074043049532,nan,0.001,1.9997073650360107,nan
4,1.9997074043049532,nan,0.001,1.9997073650360107,nan
5,1.9997074043049532,nan,0.001,1.9997073650360107,nan
6,1.9997073818655575,nan,0.001,1.9997073650360107,nan
7,1.9997073930852554,nan,0.001,1.9997073650360107,nan
8,1.999707379060633,nan,0.001,1.9997073650360107,nan
9,1.9997073818655575,nan,0.001,1.9997073650360107,nan
10,1.9997073930852554,nan,0.001,1.9997073650360107,nan
11,1.9997073930852554,nan,0.001,1.9997073650360107,nan
12,1.9997073930852554,nan,0.001,1.9997073650360107,nan
13,1.9997074043049532,nan,0.001,1.9997073650360107,nan
14,1.9997073706458597,nan,0.001,1.9997073650360107,nan
15,1.9997073930852554,nan,0.001,1.9997073650360107,nan
16,1.9997073818655575,nan,0.001,1.9997073650360107,nan
17,1.9997074043049532,nan,0.001,1.9997073650360107,nan
18,1.9997074043049532,nan,0.001,1.9997073650360107,nan
19,1.9997074043049532,nan,0.001,1.9997073650360107,nan
