epoch,f1,loss,lr,val_f1,val_loss
0,0.7624123325407531,3.6788667246612814,0.001,0.998685400170016,0.7499610585381228
1,1.1736187627135564,0.7475092783204249,0.001,1.0661105779280144,0.5147240116414296
2,1.0212042692145262,0.29730578293993093,0.001,1.016477939594223,0.20015128962246767
3,1.0521632735885749,0.17179037068852787,0.001,1.0442023382608192,0.1479411892981893
4,1.0622823024339152,0.15344399280343646,0.001,1.07631859578282,0.14092037769924684
5,1.065166598294877,0.15243388715068268,0.001,1.0554077122584884,0.13892527929989687
6,1.0402027222129477,0.1431995651927203,0.001,1.0406473429806262,0.12604851488128724
7,1.0349251547260123,0.1381404436675498,0.001,1.0406253969812969,0.1248083626888842
8,1.0306908521017575,0.13536061319909815,0.001,1.0033214053954465,0.12265039567487786
9,1.0163546460395734,0.1255267592327517,0.001,0.9998234620534752,0.0978779948978539
10,0.9989841895584765,0.10668608588850781,0.001,1.0006051551864807,0.0956171579269999
11,1.001590523191625,0.10441650931738806,0.001,0.9997316297278347,0.09419605405215757
12,1.0003451998077264,0.10410760181684375,0.001,1.00131076119511,0.09438234142749664
13,1.0018441051497635,0.10406860109550073,0.001,1.002738158386874,0.09316143016499209
14,1.0007844407838495,0.10319125613047109,0.001,1.0005204696731873,0.09306377609331445
15,1.0005202379648364,0.10111188425675414,0.001,1.0106574205988381,0.09142676145436773
16,1.0003924962930137,0.09736773651550795,0.001,1.0000794106219189,0.08657789206409071
17,1.00158803662108,0.08481786865283464,0.001,1.00157196071732,0.07243898313447654
18,1.0012890002513475,0.07929039422411001,0.001,1.0015800631189922,0.06338163881177404
19,1.00070522879319,0.07151112139770739,0.001,1.0000817909776925,0.05985296167523028
