epoch,f1,loss,lr,val_f1,val_loss
0,1.9928372914687817,nan,0.001,1.9999833533084057,nan
1,1.9999832761985161,nan,0.001,1.9999833533084057,nan
2,1.9999832940878959,nan,0.001,1.9999833533084057,nan
3,1.9999832899350043,nan,0.001,1.9999833533084057,nan
4,1.9999832915322704,nan,0.001,1.9999833533084057,nan
5,1.9999832807773454,nan,0.001,1.9999833533084057,nan
6,1.999983299625085,nan,0.001,1.9999833533084057,nan
7,1.999983279606017,nan,0.001,1.9999833533084057,nan
8,1.9999832847172685,nan,0.001,1.9999833533084057,nan
9,1.9999832928100831,nan,0.001,1.9999833533084057,nan
10,1.9999832760920317,nan,0.001,1.9999833533084057,nan
11,1.9999832868469565,nan,0.001,1.9999833533084057,nan
12,1.99998328982852,nan,0.001,1.9999833533084057,nan
13,1.999983283013518,nan,0.001,1.9999833533084057,nan
14,1.9999832897220355,nan,0.001,1.9999833533084057,nan
15,1.9999832817357053,nan,0.001,1.9999833533084057,nan
