epoch,f1,loss,lr,val_f1,val_loss
0,0.0,6.015137700473561,0.001,0.0,5.2832433700561525
1,0.0,4.648647448595832,0.001,0.0,3.855624198913574
2,0.0,3.2355180908651913,0.001,0.0,2.467211437225342
3,0.621848750114441,1.9935191028258379,0.001,1.3428571701049805,1.463728427886963
4,1.7987723378574147,1.246774387359619,0.001,1.319999885559082,0.9920464992523194
5,1.284319884636823,0.887094521522522,0.001,1.076922869682312,0.7219326496124268
6,1.0813966596827786,0.6469738571082845,0.001,1.200000023841858,0.536929976940155
7,1.1399362634210026,0.47996760887258194,0.001,1.0615383863449097,0.40227210521698
8,1.0386757065268124,0.36753522157669066,0.001,1.0,0.3332426905632019
9,1.005041997572955,0.2993853750474313,0.001,1.0,0.2853551983833313
10,1.0016806658576516,0.2587269392960212,0.001,1.0,0.2727192610502243
11,1.0,0.2307154746616588,0.001,1.0,0.2558588802814484
12,1.0,0.22593341259395375,0.001,1.0,0.24401736855506898
13,1.005041997572955,0.22073843597489246,0.001,1.0,0.2661837816238403
14,1.0,0.20770179296241087,0.001,1.0,0.23206986486911774
15,1.000794480828678,0.19233521056525849,0.001,1.0,0.19708174020051955
16,1.0034224538242116,0.18100136917303591,0.001,0.9925925970077515,0.16334727704524993
17,1.0093811932732077,0.16160701982238712,0.001,1.0142857074737548,0.1395876869559288
18,1.0067226746503044,0.15216667156885652,0.001,1.0142857074737548,0.13577383160591125
19,1.0042475083295037,0.1467950590831392,0.001,1.0142857074737548,0.12851480543613433
